"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
14515,"matmul_q8_0_f32_batch_wmma_4w_kernel",1,0,7234,855933,855933,16384,128,4096,0,88,0,128,32,"0x0","0x727917a769c0",130249129392230,130249130940645,130249131370649,130249131381118,430004
14516,"matmul_q8_0_f32_batch_sharedx_warp_rows_w32_toktile_kernel",1,0,7235,855933,855933,262144,1024,65536,0,80,0,128,32,"0x0","0x727917a79740",130249129398943,130249131374769,130249131856933,130249131861869,482164
14517,"dsv4_qkv_rms_norm_rows_kernel",1,0,7236,855933,855933,262144,256,1024,0,16,0,128,32,"0x0","0x727917a76fc0",130249129406056,130249131861053,130249131883453,130249131899250,22400
14518,"matmul_q8_0_f32_batch_wmma_4w_kernel",1,0,7237,855933,855933,524288,128,4096,0,88,0,128,32,"0x0","0x727917a769c0",130249129411076,130249131887653,130249133202785,130249133210244,1315132
14519,"head_rms_norm_kernel",1,0,7238,855933,855933,8388608,256,1024,0,8,0,128,32,"0x0","0x727917a77000",130249129415754,130249133207465,130249133489747,130249133491977,282282
14520,"rope_tail_kernel",1,0,7239,855933,855933,1048576,256,0,0,16,0,128,32,"0x0","0x727917a770c0",130249129420293,130249133493827,130249133517467,130249133527084,23640
14521,"rope_tail_kernel",1,0,7240,855933,855933,16384,256,0,0,16,0,128,32,"0x0","0x727917a770c0",130249129424661,130249133521307,130249133524107,130249133530751,2800
14522,"fp8_kv_quantize_kernel",1,0,7241,855933,855933,229376,64,512,0,16,0,128,32,"0x0","0x727917a77100",130249129430082,130249133528147,130249133536708,130249133550809,8561
14523,"f32_to_f16_kernel",1,0,7242,855933,855933,2097152,256,0,0,8,0,128,32,"0x0","0x727917a76600",130249129435161,130249133540788,130249133566548,130249133570196,25760
14524,"Cijk_Alik_Bljk_HSS_BH_HA_S_UserArgs_MT256x64x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA256_LBSPPB256_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV1_MIWT4_4_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB4_WSGRA0_WSGRB0_WS32_WG64_2_1.kd",1,0,7243,855933,855933,4096,128,55808,0,256,0,128,32,"0x0","0x7276c9660080",130249129455860,130249133570588,130249133653509,130249133660206,82921
14525,"f32_to_f16_kernel",1,0,7244,855933,855933,2097152,256,0,0,8,0,128,32,"0x0","0x727917a76600",130249129463986,130249133657429,130249133670989,130249133679683,13560
