"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"Cijk_Alik_Bljk_HSS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR0_PKA0_SIA1_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_2_1.kd",168,3567310,21233,0.01699473353849661
"add_kernel",172,3085357,17938,0.01469870016514833
"moe_build_expert_tiles_kernel",688,2858133,4154,0.013616200653316906
"swiglu_kernel",516,2674180,5182,0.01273984501878919
"quantize_q8_0_f32_kernel",688,1390773,2021,0.006625669355210382
"hc_expand_kernel",344,1362328,3960,0.0064901568274226265
"head_rms_norm_rope_tail_kernel",344,1321291,3840,0.006294655769140816
"compressor_store_kernel",496,1136087,2290,0.005412340346521608
"embed_tokens_hc_kernel",4,779886,194971,0.0037153919228785745
"moe_count_sorted_pairs_kernel",344,743535,2161,0.0035422150588387546
"moe_filter_owned_pairs_kernel",344,732881,2130,0.00349145919766629
"compressor_set_rows_kernel",336,723808,2154,0.003448235250940388
"moe_owned_slots_combine_kernel",344,687289,1997,0.0032742580316652593
"compressor_update_pool_kernel",84,280802,3342,0.0013377461356251419
"Cijk_Alik_Bljk_HSS_BH_Bias_HA_S_SAV_UserArgs_MT64x64x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT2_2_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB2_ONLL1_PGR2_PLR1_PKA0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1.kd",1,232442,232442,0.0011073581643185563
"attention_unpack_group_low_kernel",4,214482,53620,0.0010217963784486994
"compressor_shift_ratio4_kernel",84,157444,1874,0.0007500662480230371
"hc_weighted_sum_kernel",9,22320,2480,0.00010633290983380877
"embed_token_hc_kernel",8,20400,2550,9.718599285885748e-05
"output_hc_weights_kernel",9,17441,1937,8.308925987506535e-05
